created_at,text
2020-03-22,Packed UK concerts amid rising Covid-19 cases shock social media - Free Malaysia Today https://t.co/R5gu1wj0Qy
2020-03-22,"QUE PUTAS YA SON TANTOS, PARCEEEE??? O SEA EN SERIO DONDE EN UNOS TRES DÍAS NO SALGAN MENOS ME PEGO UN TIRO, SE SUPONE QUE ASÍ DEBERÍA SER YA QUE TODOS ESTAMOS EN CUARENTENA https://t.co/ZXknM4BeWS"
2020-03-22,"@derek_adesso Hover over any location in the world to see fatalities, here: https://t.co/e13J1ZmZos"
2020-03-22,@realDonaldTrump Asshole it's called covid-19
2020-03-22,"Fiddling While Rome Burns, The Reboot https://t.co/d0iDJzgrH2"
2020-03-22,"You’re bored? Watch TV. Wash your hands. Shower. Exercise at home. Cook. Read a damn book. Learn the ability to self-entertain. Do anything BUT leave the house and be a risk to yourself &amp; others.

#COVID19 
#StayAtHome 
#lockdownUKnow"
2020-03-22,This is so scary. Stay safe everyone :( Please practise self isolation! https://t.co/Lr5bvYrdDd
2020-03-22,"To contain #COVID19 in #Nigeria, we must STRICTLY observe:
* Regular hand washing
* Non-contact greetings
* Avoid crowded gatherings
* Social distance (2 metres)
* Self-isolation if returning from abroad following 
@NCDCGov guidelines"
2020-03-22,"'Targets of $1.60, $1.50 a gallon': Oil analyst says nation could see lowest gas prices in history - #Economy #Coronavirus #OilPriceWar #Gasoline  https://t.co/uBo72YWH3N"
2020-03-22,"To join the fight against coronavirus, I have taken the Janta Curfew Pledge and committed myself towards keeping the country safe. You can also take the pledge at https://t.co/3BEE41mI2e https://t.co/12Bhrq6S51 via @mygovindia."
2020-03-22,"@justinel_h @steph_gardiner It's happening already - NSW Health announced today several backpackers in Bondi have tested positive for COVID-19, after those pictures of a packed Bondi Beach. In a couple of days, young people will get the message. But every day makes the crisis worse. https://t.co/39CyEP09hv"
2020-03-22,"[LIVE] Coronavirus Pandemic: Real Time Counter, World Map, News

link : https://t.co/N8CizNAjoJ

#COVIDー19 #7dag #NeverForget #22mars #blijfthuis croatia Claude François Turkse #NeverForget Effectivement Est-ce https://t.co/TvZtEbifr7"
2020-03-22,@AndrewFeinberg The antibiotic is for the bacterial infection that usually follows Covid19. Seems you're more interested in attacking Trump than actually thinking.  The hallmark of a reporter in D.C. these days. It's no wonder America hates all of you.
2020-03-22,Exclusive: Goldman injects $1 billion into own money-market funds after heavy withdrawals | Article [AMP] | Reuters https://t.co/pPq7K4H60P
2020-03-22,Fuck you pieces of shit. https://t.co/6NelPTCIcc
2020-03-22,"Now Live is Completed Thanks for Watching Live 🤗❤ #Vishwaksen

#COVIDIOT #Coronavirus #Covid_19india #COVID19outbreak #JanataCurfew https://t.co/X7agwBgTC9"
2020-03-22,we should’ve been on lockdown a couple of weeks back 🙃 https://t.co/3sBLRkPlov
2020-03-22,"At the current rate of #COVID19 increase, Ontario's 2,053 ICU beds stand to run out by mid-to-late April. The same is true for every other province. We need tougher measures to #FlattenTheCurve! #ableg #abpoli #canlab #cdnpoli  https://t.co/I0WBJm5PDK"
2020-03-22,Home of the brave? Coronavirus epidemic reveals America's fundamental weakness https://t.co/1hh0VGH8aQ
2020-03-22,"I am so sad...Brexit divided us, and it's taken Corona Virus to unite us. Can we all fucking stick together from now on? Who gives a fuck what our politics are, we're human &amp; all need one another. #coronavirus #brexit #spreadlovenotcorona #2020fuckoffalready"
2020-03-22,"Watch ""Coronavirus ‘highly sensitive’ to warmer temperatures, Chinese study says"" on YouTube https://t.co/FVPkQQI5I4"
2020-03-22,"New post: First case of coronavirus recorded in Ibadan, Oyo state https://t.co/7Hqf9WtXoa  Retweet with love"
2020-03-22,Hu is right...But after this pandemic passes we need to have a serious talk about the #global system. #China is a huge part of this disaster. Yep. https://t.co/2YDRuQW5X3
2020-03-22,"We thank all the Doctors, their staff, Policemens and all those who r involved in this fight against Covid-19....
Come on India let's buckle up and prevent Coronavirus from spreading as this is our social responsibility #Social_Distancing #5baje5minute  at Vijayapura.... https://t.co/a4NB2lBIOo"
2020-03-22,"I've no idea if this is fake or not. Neutral face
Who cares, it is perfect. 
coronavirus
#panicbuying
https://t.co/QxytPdhzs3
via jneill 04
#FBR"
2020-03-22,"@7_Sandy_90 @asthmauk Hi Sandeep, I was in the same situation, My understanding from  @asthmauk is to keep on taking the preventer as told by your GP and also monitor your asthma with peak flow measurements. Always call your doctor / 111 if you feel symptoms get worse. https://t.co/EgaYSI1NW0"
2020-03-22,"@YTCreatorsIndia Let's do some smartphone hygiene today for stopping spread of coronavirus from our smartphones,for that watch my latest video #StayHome  @YouTubeIndia @TechtuberSimba @YTCreatorsIndia 
https://t.co/UJikPiAhrR https://t.co/nWcxToLn06"
2020-03-22,Ancient Chinese Secret...Eh!? https://t.co/OyBj48jnFK
2020-03-22,"When 13% of Americans believe they are currently infected with COVID-19 (mathematically impossible), full-on panic is blocking our ability to think clearly and determine how to deploy our resources to stop this virus.
https://t.co/dysyj4weqz"
2020-03-22,"ofc in brainwashing kids to like Sej, must also brainwash them to not spread Covid-19 https://t.co/C9D4haFBz7"
2020-03-22,It's amazing how Bernie has turned his campaign apparatus into a tool for coronavirus relief. I wish we deserved him.
2020-03-22,https://t.co/dr8b89wtcT featured Dynamic duo: Mother and daughter help seniors in Nashville amid COVID-19 crisis https://t.co/4oT6s8VVEj
2020-03-22,Let’s all clap our hands 5 pm this evening along with our prime minister @narendramodi ji To stand united against this deadly Coronavirus!! Stay home stay healthy #JanataCurfew #IndiaFightsCorona
2020-03-22,"Catastrophe waiting to happen.
Palestinians report 1st cases of coronavirus in Gaza Strip https://t.co/fb4Dymnolh"
2020-03-22,"Prayers for one of my media professors at K-State. He’s in the hospital with complications from the virus. You got this, Drew! https://t.co/3Bd6kGJP0Y"
2020-03-22,"ATTN: NORDIC COUNTRIES ARE NOT SOCIALIST! PERIOD! As Coronavirus Pandemic Exposes Failures in US, Social Democratic Nordic Countries Again Deemed World's Happiest - https://t.co/N1Zcpux8m3 via @commondreams"
2020-03-22,$GILD $REGN $SPY $MRNA #COVIDー19  #coronavirus https://t.co/XEQcYdBtBA
2020-03-22,"“Dire circumstances”: Small business ombudsman calls for support for sole traders and self-employed entrepreneurs
 https://t.co/MIvJRM0hx0"
2020-03-22,"Trump has failed the American people, the government did not take this seriously. Covid-19 was known in January but Trump administration  ignored it and said this will go away soon  now we have 24000 infected and 397 deaths and now clear action.  Poor leadership"
2020-03-22,Social distancing my players so they dont get 'rona. #fm20 #footballmanager #covid19 https://t.co/jvZzPRikxd
2020-03-22,Happy Birthday Owen https://t.co/xiJQxdeedC
2020-03-22,We’re not going back to normal - MIT Technology Review https://t.co/BR7fQTjcdf
2020-03-22,"@beardedbaffoon I am new to darts, 17. I am still looking for a good set of darts. Here in Croatia we had an earthquake this morning too, and the coronavirus... https://t.co/KMe2rY9lxk"
2020-03-22,WHAT. THE. FUCK. https://t.co/VSqhFHcyi1
2020-03-22,"Nearly 5,500 National Guard Troops Deployed in 32 States Over Coronavirus Outbreak https://t.co/wKjMl2xqmT via @gatewaypundit"
2020-03-22,@piersmorgan This morning ...https://t.co/0Ca0bNXtNH
2020-03-22,Better staff them with his family and friends then https://t.co/Pmo7qcrGgh
2020-03-22,UK Parliament: Create an emergency fund to support freelancers with Coronavirus income loss - Sign the Petition! https://t.co/f8zGHHQDYr via @UKChange
2020-03-22,Opinion: Coronavirus Highlights Inhumanity and Inefficiency of For-Profit Economy https://t.co/Xbsj5czizW
2020-03-22,"Stay vigilant. As the mobile population return from overseas, the work intensified once again to keep the spread under control. There’s no room for complacency in this global endeavour. Keep up the good work🙏 https://t.co/gmsXxi7Jv5"
2020-03-22,@Shahidmasooddr A o A. Wish to talk to you for couple of minute on point of mutual interest I.e. COVID19 spread and control on scientific basis. Being HCP you understand the importance.
2020-03-22,"I am an American constitutional lawyer – and I see our government using Covid-19 to take away our fundamental rights
https://t.co/K3Ecbn9cLt"
2020-03-22,"We are living through trying times! Something humankind has never experienced before! It is in times like this that we are reminded about humanity!
#CoronavirusPandemic"
2020-03-22,"BREAKING! FG Shuts Lagos, Abuja Airports Monday As Coronavirus Cases Hit 22 https://t.co/EZyxziSjSz https://t.co/1ZsCaVdDf4"
2020-03-22,#Kerang police station in north-west Vic was closed and professionally cleaned yesterday after an officer had contact with a positive COVID-19 case #coronavirus #Covid_19australia https://t.co/eKTyJWi1fj
2020-03-22,"This is some of the best info regarding Coronavirus and why social distancing is so important!
https://t.co/iaPRomyNJk"
2020-03-22,"(Tw suicide) 

I feel like this might be the most informative post abt suicide for people who don’t know a lot about it or who don’t know how to help. If you find yourself in that situation, definitely read this. https://t.co/GRyQp8XDyq"
2020-03-22,Is 22nd of March today and Nigerians still see #coronavirus as a joke. If you like be #COVIDIOT but try #StayAtHome 🤣 https://t.co/PUT4wEza8E
2020-03-22,@narendramodi Dear Modi ji i urge you to read this as it might be of help to control the coronavirus @mygovindia @MoHFW_INDIA #jantacurfew22march #IndiaComeTogether #IndiaFightCorona #IndiaFightsCOVID19 https://t.co/lvGIjJZWUI
2020-03-22,"@AmitShah Yes. What now? 
https://t.co/VxOzgy2HnP"
2020-03-22,"test4 14 Positive Coronavirus Cases In Gujarat, Lockdown Declared In State https://t.co/J3eHyZJwLw"
2020-03-22,Can we get this guy to run for a higher office? That is true passion and wanting to work for citizens https://t.co/6x4yg4Zs9g
2020-03-22,"Many people might want to learn yoga to improve their health and beat the #CoronaVirusPandemic. This offering by @IshaFoundation can be of great support in that process.

#StayInTurnInward

https://t.co/ghGc1fyeAL"
2020-03-22,"Couple leaves $9,400 tip at restaurant to help staff during coronavirus - ABC News - https://t.co/Geb8LzSIJ8 via @ABC"
2020-03-22,"CORONAVIRUS: CONFINEMENT IS SOLIDARITY https://t.co/hzr356f3Vh via @YouTube

More useful than a parody letter but have also learnt to make pasta"
2020-03-22,"In saner climes. 
Never in Nigeria 🙅‍♂️ https://t.co/sD2UhlBcqU"
2020-03-22,"@MvCrisis ""This week he travelled from Singapore to Shanghai Pudong International Airport before taking a taxi to the city’s Hongqiao Railway Station, from where he took a high-speed train to Jinan, according to local health authorities""

https://t.co/LEzkGkPmL0"
2020-03-22,CoVID-19 explained https://t.co/qNZ5rZz3YN
2020-03-22,"#Pangolin #Coronavirus #Corvid-19 #Impact
I was talking to some Microsoft staff in call centres over the weekend and was shocked t how little preparation these countries have made. It is a tragedy that places where the Pangolin comes from are going to be hardest hit! https://t.co/UOfJOci85i"
2020-03-22,"“We’re all one beautiful, big American family...” Remarks by President Trump, Vice President Pence, and Members of the Coronavirus Task Force in Press Briefing https://t.co/U2BRDKsaXm via @whitehouse #CoronaUpdates #coronausa #COVIDー19 #COVID19US"
2020-03-22,@ThPeterLockhart @AmyMek It will when they start getting large cases of the coronavirus.
2020-03-22,"Coronavirus: 70,000 people in Wales told 'stay indoors' - https://t.co/TKetabI1K6"
2020-03-22,People are still ignoring this . https://t.co/WfqghPWH89
2020-03-22,I am with NahBabyNah .. NO VISAS NOW PERIOD https://t.co/ENTQHhllfa
2020-03-22,From standup to the Sistine chapel: the best online culture for self-isolation https://t.co/0khDHpBsuj
2020-03-22,"Audible just made hundreds of titles completely free to help during coronavirus crisis @RadioTimes

 https://t.co/9rvaYWcFUY"
2020-03-22,"#MoreTesting
#MassTestingNowPh https://t.co/61zNVW5syJ"
2020-03-22,"Along with the rest of India, we'd like to extend our gratitude to everyone who is working tirelessly in our fight against #Coronavirus. Tahe dil se, #Shukriya.

#StayHomeStaySafe | #COVID2019 | #Covid_19india | #JantaCurfew | https://t.co/0F4lRtEiby"
2020-03-22,Chinese virus. Originated in China.  Don’t care if you think origins are racist. https://t.co/AuDleINwcK
2020-03-22,Boris Johnson tells Britons not to visit parents on Mother's Day because of coronavirus
2020-03-22,"Coronavirus is revealing how badly the UK has failed its most vulnerable
https://t.co/31t685Oihl"
2020-03-22,"Remember back in 2016 when #Trump voters were saying they wanted to ""tear down the system""? This is what they were talking about. #COVIDー19 https://t.co/VJGhRUTCcX"
